Button,Date,Site,Time,mm
1,24/04/2017,K,14:29:12,30.5
1,24/04/2017,K,14:29:29,60
1,24/04/2017,K,14:29:46,59
1,24/04/2017,K,14:30:00,58.5
1,24/04/2017,K,14:30:37,52
1,24/04/2017,K,14:31:01,52
1,24/04/2017,K,14:31:17,56
1,24/04/2017,K,14:31:29,59
2,24/04/2017,K,14:31:42,54.5
1,24/04/2017,K,14:31:54,47
2,24/04/2017,K,14:32:16,46.5
2,24/04/2017,K,14:32:25,52
2,24/04/2017,K,14:32:34,53
2,24/04/2017,K,14:32:47,46
2,24/04/2017,K,14:33:02,46
2,24/04/2017,K,14:33:16,46.5
2,24/04/2017,K,14:33:30,57.5
2,24/04/2017,K,14:33:43,46
2,24/04/2017,K,14:33:53,65
2,24/04/2017,K,14:34:04,55
2,24/04/2017,K,14:34:16,41.5
2,24/04/2017,K,14:34:30,66.5
2,24/04/2017,K,14:34:40,50
2,24/04/2017,K,14:34:51,52
2,24/04/2017,K,14:35:08,57
2,24/04/2017,K,14:35:18,54.5
2,24/04/2017,K,14:35:35,54
2,24/04/2017,K,14:35:45,48.5
2,24/04/2017,K,14:36:00,65
2,24/04/2017,K,14:36:10,44.5
2,24/04/2017,K,14:36:30,49
1,24/04/2017,K,18:41:17,0
2,24/04/2017,K,22:30:52,0
2,25/04/2017,S,14:39:49,57.5
2,25/04/2017,S,14:40:35,52
2,25/04/2017,S,14:41:02,40
2,25/04/2017,S,14:41:14,40
2,25/04/2017,S,14:41:28,50
2,25/04/2017,S,14:41:39,49
2,25/04/2017,S,14:41:59,56.5
2,25/04/2017,S,14:42:14,44.5
2,25/04/2017,S,14:42:23,40.5
2,25/04/2017,S,14:42:32,40
2,25/04/2017,S,14:42:41,42
2,25/04/2017,S,14:42:51,37
2,25/04/2017,S,14:42:59,53
2,25/04/2017,S,14:43:08,61
2,25/04/2017,S,14:43:18,56.5
2,25/04/2017,S,14:43:27,46.5
2,25/04/2017,S,14:43:43,50.5
2,25/04/2017,S,14:44:06,39
2,25/04/2017,S,14:44:28,49
2,25/04/2017,S,14:44:43,30.5
2,25/04/2017,S,14:44:50,45
2,25/04/2017,S,14:45:01,46
2,25/04/2017,S,14:45:16,47.5
2,25/04/2017,S,14:45:26,46
2,25/04/2017,S,14:45:34,33
2,25/04/2017,S,14:45:43,50.5
2,25/04/2017,S,14:45:54,40.5
2,25/04/2017,S,14:46:18,46.5
2,25/04/2017,S,14:46:28,49
2,25/04/2017,S,14:46:38,45
2,25/04/2017,S,14:46:50,45
2,25/04/2017,S,14:47:10,50
2,25/04/2017,S,14:47:29,38
2,25/04/2017,S,14:47:38,44
2,25/04/2017,S,14:47:49,48.5
2,25/04/2017,S,14:47:58,40.5
2,25/04/2017,S,14:48:13,43
2,25/04/2017,S,14:48:23,39.5
2,25/04/2017,S,14:48:39,44.5
2,25/04/2017,S,14:48:50,51
2,25/04/2017,S,14:49:01,45.5
2,25/04/2017,S,14:49:09,42.5
2,25/04/2017,S,14:49:20,48.5
2,25/04/2017,S,14:49:29,48.5
2,25/04/2017,S,14:49:41,48.5
2,25/04/2017,S,14:49:51,51.5
2,25/04/2017,S,14:50:01,44.5
2,25/04/2017,S,14:50:09,47
2,25/04/2017,S,14:50:16,47
2,25/04/2017,S,14:50:23,36
2,25/04/2017,S,14:50:38,44
2,25/04/2017,S,14:50:51,40.5
2,25/04/2017,S,14:50:59,44.5
2,25/04/2017,S,14:51:14,34.5
2,25/04/2017,S,14:51:27,47.5
2,25/04/2017,S,14:51:37,47
2,25/04/2017,S,14:51:47,53.5
