Index,Term,df,MS,F,P
N,Site,1,0.0578190937432302,1.8337039271660813,0.1883047172763491
N,Density,2,0.0765421218471321,2.427495492198795,0.10961843188897645
N,Site x Density,2,0.156488535661091,4.962956418385755,0.015709284215944495
N,Residuals,24,0.03153131369063891,,
H,Site,1,0.6228575355185657,6.454226296000915,0.017953896508360455
H,Density,2,0.9737133544382852,10.089893721443968,6.604674753697688e-4
H,Site x Density,2,0.024620023513747487,0.25511966077169407,0.7768984931282551
H,Residuals,24,0.09650382663286733,,
S,Site,1,0.9402794336973455,20.252118750633034,1.480201137692406e-4
S,Density,2,0.9569292997211931,20.61073029929914,6.163801670106863e-6
S,Site x Density,2,0.0961332387872279,2.070556579278075,0.14806064270262462
S,Residuals,24,0.04642869446279316,,
J,Site,1,0.0011237559489339019,0.04367053270384314,0.8362313468871299
J,Density,2,0.07167052344985932,2.785204333011931,0.08170468910713405
J,Site x Density,2,0.003436953263532475,0.13356421386606934,0.8756171075373774
J,Residuals,24,0.02573259081941558,,
